Track_age_yrs,Track_degradation,Load_cycles_daily,Load_amplitude_avg_N,Balast_thickness_inmm,track_confining_pressure_kPa,curve_radius_mm,tilting_wagon,fracture_strength_level,fracture_strength_value,track_fouling,track_misalignment,rail_material_inhomogenous,humidty_percent,corrosion_index_iso,speed_mph,Accumulated_tonnage_kgpmeter,rail_fall_in_mm,track_quality_index,inspection_interval_yrs
35,FALSE,93,2348,368,57,499,FALSE,1,301,TRUE,FALSE,TRUE,89,5,77,61,55,10,5
48,FALSE,177,2452,282,219,490,TRUE,5,317,FALSE,FALSE,FALSE,75,2,154,64,41,7,3
28,FALSE,189,2022,357,101,567,TRUE,4,207,FALSE,TRUE,FALSE,100,2,122,47,15,10,6
32,TRUE,151,2135,385,68,570,TRUE,3,272,FALSE,TRUE,FALSE,73,7,96,45,89,3,6
51,FALSE,144,2242,249,103,545,TRUE,5,284,FALSE,TRUE,FALSE,83,7,206,60,54,6,5
51,TRUE,92,2168,187,199,497,FALSE,1,230,TRUE,TRUE,FALSE,96,7,207,65,53,7,5
46,TRUE,163,1642,319,196,585,TRUE,4,316,TRUE,TRUE,FALSE,97,2,140,61,67,10,3
44,FALSE,92,1900,296,145,465,FALSE,5,297,FALSE,TRUE,TRUE,88,5,240,55,12,4,3
26,TRUE,69,1944,341,110,468,FALSE,3,215,TRUE,FALSE,TRUE,73,9,74,59,76,3,6
31,TRUE,84,1694,262,77,497,FALSE,2,241,FALSE,FALSE,TRUE,98,2,165,55,13,9,3
52,FALSE,96,1986,263,150,490,FALSE,1,205,FALSE,TRUE,FALSE,100,1,174,60,43,4,6
42,TRUE,134,1839,331,54,490,FALSE,2,238,TRUE,FALSE,TRUE,80,10,78,60,71,3,5
53,TRUE,153,2323,211,189,592,TRUE,1,242,TRUE,TRUE,FALSE,92,2,80,66,40,5,5
27,TRUE,197,1569,254,66,468,TRUE,4,318,TRUE,FALSE,TRUE,95,8,81,56,25,5,5
48,FALSE,74,1941,186,60,466,TRUE,3,269,FALSE,FALSE,FALSE,75,5,146,53,65,9,6
30,FALSE,118,1751,365,228,483,FALSE,2,315,FALSE,FALSE,FALSE,78,5,188,65,87,6,3
36,FALSE,118,1820,311,202,538,FALSE,3,244,FALSE,FALSE,TRUE,73,1,126,63,22,9,4
28,FALSE,146,1548,155,162,623,FALSE,4,277,TRUE,FALSE,TRUE,74,3,245,56,81,6,5
42,TRUE,80,2091,375,187,628,FALSE,1,225,FALSE,TRUE,TRUE,74,9,211,65,30,5,3
31,TRUE,50,1851,191,129,474,TRUE,2,268,FALSE,FALSE,TRUE,100,3,165,57,58,10,2
46,TRUE,168,2200,304,170,629,FALSE,2,317,TRUE,FALSE,TRUE,75,2,95,51,30,2,6
21,FALSE,117,2588,249,118,581,TRUE,2,204,TRUE,FALSE,TRUE,90,10,185,59,51,3,5
29,TRUE,128,2574,394,199,565,TRUE,2,233,FALSE,FALSE,TRUE,97,7,166,53,85,6,5
37,TRUE,103,2022,314,107,535,TRUE,3,314,FALSE,TRUE,TRUE,81,5,102,57,19,4,6
21,FALSE,185,1794,195,113,597,TRUE,1,277,TRUE,FALSE,FALSE,93,5,149,62,68,6,5
